GEOID,total_claims,total_payout,years_with_claims,Q100yr_best,Q10yr_gev,best_model,n_obs,impervious_pct,median_income,COUNTY_NAME,exposure_idx,hazard_idx,imperv_idx,vuln_idx,risk_index
48231,7.0,121466.16,4,25693.878307321273,1445.1234879584765,LP3,60.0,2.790071055565034,66885,Hunt County,0.1,0.0,7.3,40.9,5.22
48411,2.0,48700.0,1,166196.95097921864,4927344.894047213,LP3,77.0,0.4806288763002393,54087,San Saba County,0.0,0.0,1.1,50.6,5.22
48099,11.0,360293.20999999996,2,100462.58283749972,3809196.489358631,LP3,70.0,2.1915505024304576,63281,Coryell County,0.1,0.0,5.6,43.3,5.21
48399,0.0,0.0,0,60173.1053998186,3347367.586566303,LP3,104.0,0.7402066139338501,55424,Runnels County,0.0,0.0,1.7,49.4,5.2
48289,3.0,78923.54000000001,2,68623.85934974872,2902881.8471803064,LP3,84.0,1.15256392736276,57363,Leon County,0.0,0.0,2.9,47.7,5.2
48443,0.0,0.0,0,118885.67877479341,2282767.035459242,LP3,36.0,0.1391032482412232,52813,Terrell County,0.0,0.0,0.1,51.8,5.19
48235,2.0,13409.54,1,14875.73236171255,298801.2350765622,LP3,53.0,0.5066781467110003,54708,Irion County,0.0,0.0,1.1,50.0,5.16
48413,0.0,0.0,0,,,,,0.2566166272474836,53774,Schleicher County,0.0,0.0,0.4,50.9,5.15
48401,4.0,3117.73,3,20235.789349390867,2025065.5848264196,LP3,42.0,1.7349201013237094,61661,Rusk County,0.1,0.0,4.4,44.4,5.14
48163,0.0,0.0,0,109259.67502644856,2468917.389555282,LP3,91.0,0.7276372585874796,56042,Frio County,0.0,0.0,1.7,48.8,5.14
48479,12.0,148684.57,5,453275.3231685031,7658936.405115795,LP3,112.0,1.2966573066463487,59984,Webb County,0.2,0.0,3.2,45.6,5.12
48123,3.0,80176.41,2,247365.6271979859,8960393.723646995,LP3,82.0,1.645243766509398,61100,DeWitt County,0.0,0.0,4.2,44.8,5.11
48467,12.0,722522.11,4,50970.25646541574,2207336.312558438,LP3,59.0,1.6404591172010894,62334,Van Zandt County,0.2,0.0,4.2,43.9,5.1
48075,0.0,0.0,0,89729.2909647611,5544770.698946945,LP3,56.0,0.5965287791944933,56063,Childress County,0.0,0.0,1.4,48.8,5.09
48447,0.0,0.0,0,23810.349703501528,81455.402162937,LP3,55.0,0.3828989424996271,55221,Throckmorton County,0.0,0.0,0.8,49.6,5.08
48285,1.0,0.0,1,87558.15385820757,4812084.174938519,LP3,72.0,1.0804904259231474,58530,Lavaca County,0.0,0.0,2.7,46.8,5.08
48499,0.0,0.0,0,67222.06240582075,8907416.740950573,LP3,78.0,1.6903150143923953,61748,Wood County,0.0,0.0,4.3,44.3,5.07
48459,0.0,0.0,0,26041.873917462308,11587.173643191003,LP3,78.0,1.444461645002759,60456,Upshur County,0.0,0.0,3.6,45.3,5.07
48253,20.0,1315628.37,5,31045.191378189913,12441207.124384923,LP3,94.0,0.9102384910495416,59361,Jones County,0.3,0.0,2.2,46.1,5.06
48473,19.0,259144.48,5,,,,,2.953126425860616,71643,Waller County,0.2,0.0,7.7,38.2,5.06
48095,0.0,0.0,0,159524.83232776253,2065570.2272333044,LP3,96.0,0.4240583308584555,55750,Concho County,0.0,0.0,0.9,49.1,5.04
48139,22.0,855365.18,4,122122.30706776599,3729560.366859985,LP3,82.0,4.964449558448651,93248,Ellis County,0.3,0.0,13.1,29.4,5.03
48415,0.0,0.0,0,34804.679149885524,1317726.0352568529,LP3,64.0,0.9391534958806672,58932,Scurry County,0.0,0.0,2.3,46.5,5.0
48341,0.0,0.0,0,672.7761189858028,635.6896077976105,LP3,11.0,0.9704112578424609,59041,Moore County,0.0,0.0,2.4,46.4,5.0
48237,0.0,0.0,0,36420.93813853911,2632045.0768667366,LP3,65.0,0.9296684940392964,58861,Jack County,0.0,0.0,2.3,46.5,5.0
48379,0.0,0.0,0,,,,,1.205299764666714,60291,Rains County,0.0,0.0,3.0,45.4,4.99
48187,19.0,294305.98,4,68310.6275847406,2747283.8364270465,LP3,27.0,4.51685255593695,88111,Guadalupe County,0.2,0.0,11.9,31.1,4.98
48435,0.0,0.0,0,,,,,0.4483110112608811,56778,Sutton County,0.0,0.0,1.0,48.2,4.97
48169,0.0,0.0,0,47886.53252749996,2667999.7200374654,LP3,56.0,0.3220037408166208,56215,Garza County,0.0,0.0,0.6,48.7,4.96
48329,6.0,218388.08,2,,,,,4.755802045809173,90123,Midland County,0.1,0.0,12.5,30.4,4.96
48175,0.0,0.0,0,85460.30590740175,6717981.890434742,LP3,81.0,0.685625450179101,58125,Goliad County,0.0,0.0,1.6,47.1,4.95
48337,3.0,83603.40000000001,1,2582523.3287512804,19001.27835583891,GEV,15.0,1.608336746157703,63336,Montague County,0.0,0.0,4.1,43.2,4.94
48185,8.0,119125.53,3,28921.26378322755,689622.7283537551,LP3,10.0,1.536947847741326,63484,Grimes County,0.1,0.0,3.9,43.1,4.94
48465,1.0,6051.8,1,573356.9494077464,30607467.192254428,LP3,82.0,0.4743006329927254,57250,Val Verde County,0.0,0.0,1.0,47.8,4.93
48333,0.0,0.0,0,34422.9472161055,2703341.078101353,LP3,53.0,0.8337030993140289,59315,Mills County,0.0,0.0,2.0,46.2,4.92
48055,1.0,0.0,1,136435.60006956605,19300902.11721514,LP3,92.0,2.1060747110868627,66779,Caldwell County,0.0,0.0,5.4,41.0,4.91
48097,2.0,83662.88,1,51708.027070729215,4366710.802900214,LP3,47.0,1.990076610085867,66374,Cooke County,0.0,0.0,5.1,41.2,4.88
