GEOID,n_obs,Q2yr_gev,Q10yr_gev,Q50yr_gev,Q100yr_gev,gev_shape,aic_gev,Q2yr_lp3,Q10yr_lp3,Q50yr_lp3,Q100yr_lp3,aic_lp3,Q100yr_best,best_model
48237,65,40.770124949105366,2632045.0768667366,105620098155.27373,9330023472910.54,-6.4180411086757445,1445.5303254585428,2932.9883527294633,12829.945690220193,28114.294671513177,36420.93813853911,217.80124728645336,36420.93813853911,LP3
48239,77,1006.513657226766,24159702.38730856,4678569257599.42,803964749755810.1,-7.371075869537853,1950.432194423232,13388.777472341842,46798.020693803526,95048.53247394372,121085.51205410733,226.47103042114605,121085.51205410733,LP3
48241,89,2432.721916233481,19785276.60554767,5303612486497.095,1045700261212541.6,-7.567994661022134,2339.445181589504,20174.92874356045,42661.37173824107,64059.69501504127,73372.80256931143,173.38949605658678,73372.80256931143,LP3
48243,43,18.41695792506907,1493508.0738904874,39674170806.49301,2943777369064.35,-6.168265965661853,866.2837047873275,1357.309288733447,4525.0921243282855,6932.226572465983,7721.188626825006,141.08578226764388,7721.188626825006,LP3
48245,59,1280.245762053573,1346.2119770731017,10183.154182503407,71980.12690675423,-2.967645731686262,1546.147939391855,6457.619379625662,19081.203016002593,39764.97134836678,52314.34099299312,143.75807959732734,52314.34099299312,LP3
48249,51,29.605750293297735,640429.723524551,9195445776.481848,526035006829.25085,-5.795757911367547,1009.5496801239244,1229.3773110863851,8965.771316157732,22258.336229400666,29278.59624132762,209.09257213999717,29278.59624132762,LP3
48251,39,185.37604666924213,1733082.3084958554,46536620113.59278,3468852795527.73,-6.174841624905849,836.897389070364,2965.501587406261,8223.480303506756,11825.7216933828,12967.5453245635,115.4566330610866,12967.5453245635,LP3
48253,94,103.1033921312605,12441207.124384925,1555111738888.594,222077238367084.2,-7.10599074627296,2122.5243109603107,3314.1437572974646,11962.541901257671,24397.56075096072,31045.191378189913,281.90267879532666,31045.191378189913,LP3
48255,94,520.7111274959556,3885857.629278406,196863055768.7373,19191787020471.312,-6.559238108726618,2285.5357405087525,8275.122962988005,28287.968264596773,54912.370475282434,68475.56835018119,276.5330594752783,68475.56835018119,LP3
48257,72,709.0518996549913,4300317.785845141,194455281134.97256,18067999848083.64,-6.490442388763697,1818.0241034709984,13226.54050718988,32345.71869721223,48822.83578971133,55301.39442790665,177.42920701255176,55301.39442790665,LP3
48259,88,141.8285630849716,127877.52179394197,567278732.1792399,19759549538.445255,-5.085201780803361,2238.4649233740647,14393.586104387046,91806.77624332505,194517.67756843223,239692.38694949533,351.52899011445527,239692.38694949533,LP3
48263,26,1136.7359913892683,4800.822097733421,15578.591864452545,25427.68862388543,-0.6938759878952405,451.0749405565444,1154.464469402477,4773.056248532165,12741.013195372168,18448.09117511974,79.86509023704234,18448.09117511974,LP3
